Brand,Year,Kilometers_Driven,Fuel_Type,Transmission,Engine_CC,Mileage_kmpl,Seats,Owner_Count,Selling_Price
Kia,2012,84148,Diesel,Automatic,2444.0,17.4,5,4,1591000
Toyota,2026,88186,Petrol,Manual,1075.0,25.8,5,1,2669000
Ford,2019,156094,CNG,Automatic,1896.0,17.7,7,1,2061000
Tata,2023,128629,Diesel,Automatic,2502.0,25.8,7,1,3073000
Kia,2022,75316,Diesel,Manual,2595.0,22.1,7,1,3150000
Skoda,2023,33380,Petrol,Manual,1042.0,14.0,5,1,2136000
Honda,2023,115198,Petrol,Manual,1925.0,18.6,7,2,2654000
Kia,2015,7356,Petrol,Automatic,1786.0,25.9,7,3,2180000
Ford,2015,75326,CNG,Automatic,1484.0,23.7,5,4,1421000
Tata,2016,97447,Diesel,Manual,970.0,11.6,5,1,1148000
Toyota,2019,119994,Petrol,Manual,1452.0,21.3,5,3,1854000
Ford,2016,25049,Electric,Manual,987.0,15.5,7,1,1691000
Ford,2019,110361,Petrol,Manual,2264.0,10.1,5,1,2276000
Honda,2026,21082,Petrol,Manual,1909.0,16.5,7,3,2920000
Mahindra,2021,5661,Petrol,Automatic,2299.0,13.8,5,2,2534000
Tata,2012,7920,Diesel,Manual,851.0,23.1,7,1,1145000
Hyundai,2023,84561,CNG,Automatic,910.0,15.4,4,1,2334000
Ford,2026,13946,Petrol,Automatic,1676.0,23.2,5,1,2967000
Mahindra,2021,21309,CNG,Automatic,1866.0,10.0,5,2,2399000
Hyundai,2020,60230,Petrol,Manual,1010.0,14.9,5,1,1937000
Tata,2017,116822,CNG,Manual,2023.0,13.9,7,4,1660000
Maruti,2014,117340,Diesel,Manual,1657.0,13.7,5,1,1373000
Skoda,2024,64321,Diesel,Manual,2575.0,11.1,6,1,2944000
Mahindra,2025,137028,Petrol,Manual,1426.0,13.0,5,1,2436000
Volkswagen,2019,79131,Electric,Automatic,1849.0,18.9,5,1,2524000
Maruti,2020,30963,Diesel,Manual,1098.0,14.7,5,1,1934000
Skoda,2017,106757,Petrol,Manual,1900.0,16.7,4,2,1793000
Honda,2022,104259,Diesel,Manual,1723.0,16.0,7,3,2270000
Kia,2018,44063,Petrol,Manual,936.0,24.0,5,3,1471000
Toyota,2012,119225,CNG,Automatic,1843.0,24.5,7,2,1630000
Volkswagen,2025,121400,Petrol,Automatic,1239.0,17.9,8,2,2670000
Honda,2016,85818,Diesel,Manual,1010.0,15.3,5,1,1346000
Tata,2016,9703,Diesel,Manual,1551.0,11.7,5,2,1586000
Honda,2021,77099,Petrol,Manual,2374.0,25.3,6,1,2533000
Kia,2025,36585,Petrol,Manual,1234.0,11.0,8,1,2559000
Tata,2015,158087,Petrol,Manual,1579.0,14.8,7,1,1471000
Volkswagen,2017,48585,Petrol,Automatic,2030.0,14.8,5,1,2084000
Kia,2018,31958,Petrol,Manual,1238.0,15.1,7,1,1785000
Hyundai,2020,31017,Diesel,Manual,1465.0,12.6,5,3,1991000
Toyota,2012,129677,Petrol,Manual,1865.0,22.5,8,1,1196000
Volkswagen,2026,148273,Petrol,Manual,1210.0,12.0,8,1,2362000
Hyundai,2017,34426,Diesel,Manual,2346.0,20.2,5,1,2369000
Skoda,2018,22778,Petrol,Manual,1605.0,12.0,5,1,1784000
Volkswagen,2014,47229,CNG,Manual,1409.0,11.1,5,1,1204000
Skoda,2019,91652,CNG,Manual,1226.0,24.6,5,1,2138000
Tata,2026,133267,Diesel,Manual,2098.0,13.0,7,1,2811000
Hyundai,2016,131503,Diesel,Manual,2271.0,23.1,5,1,2111000
Toyota,2026,89878,CNG,Manual,1701.0,18.7,5,2,2758000
Kia,2020,62056,Petrol,Automatic,1741.0,11.2,5,2,2147000
Ford,2016,24975,Petrol,Manual,1541.0,25.3,8,1,1869000
Honda,2020,159351,Petrol,Manual,2192.0,14.0,5,1,2027000
Maruti,2021,147633,Diesel,Manual,2043.0,23.8,5,1,2372000
Toyota,2015,93397,Petrol,Manual,2400.0,12.7,5,2,1748000
Hyundai,2020,38142,Diesel,Manual,2055.0,23.7,8,1,2340000
Ford,2016,31916,Electric,Automatic,1127.0,10.2,7,1,1888000
Toyota,2021,69324,CNG,Automatic,2266.0,,5,2,2611000
Hyundai,2020,130932,Diesel,Manual,851.0,22.3,5,1,1769000
Mahindra,2014,140720,Petrol,Manual,1175.0,25.0,5,1,1109000
Mahindra,2026,101059,Diesel,Manual,1062.0,24.5,5,1,2800000
Skoda,2015,103317,Diesel,Automatic,1066.0,23.1,5,3,1552000
Toyota,2020,40046,Petrol,Manual,1158.0,24.2,7,2,2271000
Mahindra,2021,106459,Petrol,Manual,2140.0,13.2,5,2,2197000
Hyundai,2022,50893,CNG,Manual,2147.0,14.5,7,1,2435000
Skoda,2017,106520,Diesel,Manual,2489.0,14.6,5,1,2374000
Hyundai,2013,130818,Diesel,Manual,1451.0,16.0,7,4,1104000
Skoda,2018,66272,CNG,Manual,2386.0,16.3,7,3,2135000
Toyota,2013,72649,Diesel,Manual,2452.0,18.7,5,1,1916000
Ford,2022,69674,Petrol,Automatic,2244.0,12.6,5,2,2670000
Kia,2013,149832,Petrol,Manual,845.0,21.1,5,1,960000
Volkswagen,2022,157999,Petrol,Manual,1399.0,12.7,5,1,2148000
Ford,2012,91475,Petrol,Automatic,1519.0,15.0,5,2,1295000
Tata,2022,66367,Diesel,Manual,2092.0,18.1,5,1,2448000
Hyundai,2022,148660,Diesel,Manual,1400.0,22.7,8,3,1988000
Tata,2023,126750,CNG,Manual,1180.0,21.8,5,1,2305000
Ford,2022,123154,Petrol,Manual,917.0,20.3,7,1,1683000
Skoda,2014,49738,Diesel,Automatic,2389.0,12.5,5,3,1838000
Volkswagen,2017,38397,Diesel,Manual,915.0,18.8,7,3,1449000
Volkswagen,2019,87189,Diesel,Manual,2453.0,11.4,5,1,2258000
Maruti,2020,81367,Diesel,Manual,1059.0,16.0,7,1,1915000
Volkswagen,2018,125585,Petrol,Manual,1898.0,16.6,5,2,1795000
Kia,2015,81619,Petrol,Automatic,2303.0,10.6,5,1,1829000
Volkswagen,2017,116453,Petrol,Manual,1104.0,14.4,5,3,1191000
Ford,2016,24816,Petrol,Manual,806.0,25.3,5,3,1653000
Maruti,2019,142348,Petrol,Automatic,1165.0,25.3,5,1,2083000
Ford,2012,84530,Diesel,Manual,2457.0,15.6,5,1,1457000
Ford,2012,159571,Electric,Automatic,1322.0,10.7,4,1,1361000
Honda,2024,113856,Diesel,Automatic,2171.0,12.9,7,3,2722000
Maruti,2026,76635,,Automatic,2261.0,16.3,5,1,3145000
Ford,2022,112803,Petrol,Manual,2038.0,25.2,5,1,2471000
Honda,2017,40946,Diesel,Manual,1228.0,12.3,7,1,1707000
Honda,2021,60204,Petrol,Automatic,1590.0,22.2,5,1,2536000
Maruti,2023,20563,Petrol,Manual,2321.0,11.7,5,1,2713000
Tata,2013,97324,Petrol,Manual,2363.0,25.7,5,1,1663000
Skoda,2016,14847,Petrol,Automatic,1546.0,16.1,7,3,1696000
Kia,2012,31155,Petrol,Automatic,1166.0,22.4,7,3,1221000
Skoda,2018,84671,Petrol,Manual,1112.0,15.5,7,2,1480000
Volkswagen,2012,121891,Petrol,Manual,1337.0,20.0,5,1,1094000
Kia,2015,88310,Electric,Manual,1720.0,13.1,7,1,1718000
Volkswagen,2020,154381,Petrol,Automatic,1877.0,12.3,5,2,2010000
Ford,2012,136691,Petrol,Automatic,2364.0,25.0,4,1,1799000
Hyundai,2015,39707,Petrol,Manual,2290.0,24.7,4,3,2027000
Maruti,2017,156409,Diesel,Manual,1664.0,24.2,5,2,1696000
Kia,2017,86537,Petrol,Automatic,1987.0,20.0,5,1,2084000
Kia,2023,96155,Petrol,Manual,1581.0,22.9,5,3,2550000
Ford,2026,5281,Petrol,Manual,1133.0,11.1,4,3,2468000
Tata,2024,137130,Petrol,Automatic,2370.0,15.4,5,1,2735000
Honda,2019,81260,Petrol,Manual,1597.0,15.0,7,1,1867000
Ford,2012,145272,Petrol,Manual,1147.0,20.2,5,1,966000
Mahindra,2018,69178,Petrol,Manual,1072.0,15.7,7,1,1834000
Honda,2012,38997,Petrol,Manual,1762.0,12.4,5,1,1255000
Maruti,2024,124273,Petrol,Automatic,1519.0,19.5,7,1,2612000
Honda,2025,137311,Diesel,Manual,2573.0,23.0,5,3,2884000
Tata,2018,131945,Diesel,Automatic,2237.0,16.1,5,1,2156000
Honda,2014,50272,Petrol,Manual,1299.0,12.1,5,1,1021000
Maruti,2022,94393,Petrol,Manual,1916.0,13.1,5,2,2203000
Tata,2019,66212,CNG,Manual,1484.0,13.8,7,1,2113000
Skoda,2014,151470,Petrol,Manual,878.0,14.8,5,2,850000
Kia,2025,125030,Petrol,Manual,1421.0,20.3,5,1,2510000
Kia,2025,61503,Diesel,Manual,2040.0,19.6,7,1,2950000
Volkswagen,2024,142710,Petrol,Manual,1746.0,21.1,6,1,2542000
Skoda,2012,11570,Petrol,Manual,1157.0,15.8,5,2,1101000
Skoda,2024,73785,Petrol,Automatic,1417.0,23.2,5,1,2547000
Honda,2024,14110,CNG,Manual,1306.0,13.3,5,2,2586000
Kia,2025,84141,,Automatic,2382.0,17.5,5,1,3181000
Maruti,2019,17115,Diesel,Manual,2004.0,22.8,5,1,2304000
Toyota,2014,44062,,Manual,1375.0,12.9,8,1,1705000
Toyota,2013,27911,Petrol,Manual,2069.0,11.8,5,3,1563000
Tata,2012,109061,Petrol,Manual,1043.0,24.1,5,3,962000
Kia,2025,37556,Petrol,Manual,1305.0,15.5,5,1,2359000
Kia,2014,133335,Petrol,Automatic,1221.0,20.9,7,1,1587000
Toyota,2026,6969,Petrol,Automatic,2143.0,10.4,7,1,3188000
Kia,2013,48753,CNG,Manual,1910.0,21.0,5,1,1598000
Honda,2013,140542,Diesel,Manual,1016.0,15.1,7,1,1434000
Mahindra,2017,126863,Diesel,Automatic,2313.0,10.9,5,3,1974000
Hyundai,2023,15225,Petrol,Manual,2342.0,19.8,5,3,2679000
Skoda,2012,128008,Diesel,Automatic,2101.0,13.9,5,1,1254000
Volkswagen,2013,159268,Electric,Automatic,2545.0,16.2,5,1,2084000
Tata,2025,110823,Diesel,Automatic,1808.0,11.3,5,3,2417000
Mahindra,2017,18669,Petrol,Manual,1992.0,12.4,7,2,1885000
Toyota,2014,129398,Diesel,Manual,1129.0,14.8,5,1,1208000
Skoda,2026,115677,Petrol,Manual,1449.0,11.4,7,1,2774000
Kia,2015,53320,Petrol,Manual,2264.0,24.6,5,1,2104000
Volkswagen,2012,151649,Petrol,Automatic,1190.0,10.1,5,1,934000
Kia,2019,130354,Diesel,Manual,2319.0,17.7,5,1,2311000
Maruti,2024,93009,Diesel,Manual,1180.0,12.0,5,1,2181000
Maruti,2018,33625,Petrol,Automatic,2129.0,14.9,5,2,2182000
Volkswagen,2018,29089,Petrol,Automatic,1541.0,24.8,5,1,2190000
Volkswagen,2014,41487,Petrol,Automatic,1619.0,12.6,5,1,1715000
Toyota,2021,115448,Petrol,Automatic,1472.0,25.5,5,1,2470000
